level,credits,course_2,title_2,course_1,gen_ed,title_1,special
"
L",1.00,GEN EL,General Elective,COMPSCI 151,"
",Using Computers,None
"
L",3.00,GEN EL,General Elective,COMPSCI 161,"
",Introduction to Computers,None
"
L",3.00,GEN EL,General Elective,COMPSCI 162,"
NSA",Computer Applications,None
"
L",3.00,CSCI 130,Introduction to Programming,COMPSCI 171,"
NSA",Intro to Vb Programming,None
"
L",3.00,CSCI 241,Computer Science I,COMPSCI 172,"
NSA",Introduction to Java,None
"
L",3.00,GEN EL,General Elective,COMPSCI 173,"
",Fortran Programming,None
"
L",3.00,GEN EL,General Elective,COMPSCI 181,"
NSA",Database and Web,None
"
L",3.00,CSCI 241,Computer Science I,COMPSCI 220,"
NSA",Intermediate Java,None
"
L",3.00,CSCI 245,Assembly Language Programming,COMPSCI 271,"
",Assembly Programming,None
"
L",3.00,CSCI 242,Computer Science II,COMPSCI 372,"
",Intermediate Programming,None
"
L",5.00,GEOS 110,Intro to Astronomy,ASTRONMY 112,"
",Introduction to Astronomy,None
"
L",3.00,GEOS 110,Intro to Astronomy,ASTRONMY 114,"
",Descriptive Astronomy,None
"
L",3.00,ACCT 201,Financial Accounting,ACCOUNT 244,"
",Intro to Financial Acct,None
"
L",3.00,ACCT 202,Managerial Accounting,ACCOUNT 249,"
",Intro to Managerial Acct,None
"
U",3.00,ACCT 302,Intermediate Accountng II,ACCOUNT 343,"
",Intrmediate Accounting II,None
"
U",3.00,ACCT 305,Individual Taxation,ACCOUNT 451,"
",Tax I,None
"
U",3.00,ACCT 306,Business Taxation,ACCOUNT 452,"
",Tax II,None
"
U",3.00,ACCT 403,Advanced Cost Accounting,ACCOUNT 456,"
",Cost Management,None
"
L",3.00,GEN EL,General Elective,ACINDP 105,"
",World of the Arts,None
"
L",6.00,GEN EL,General Elective,ACINDP 105A,"
",Arts 105 & Fresh Engl 102,None
"
L",3.00,GEN EL,General Elective,ACINDP 150,"
",Intro Multimedia Studies,None
"
L",3.00,GEN EL,General Elective,ACINDP 151,"
",Intro Multimed Aesthetics,None
"
L",1.00-2.00,GEN EL,General Elective,ACINDP 200,"
",Arts Management Practicum,None
"
L",3.00,GEN EL,General Elective,ACINDP 215,"
HUA",Fine Arts Western Culture,None
"
L",3.00,GEN EL,General Elective,AMERIND 102,"
DV, SSS",Intro Amer Indian Studies,None
"
L",3.00,ART 102,Introduction to 2-D Design,ARTSTDIO 102,"
HUA",2-Dimensional Design,None
"
L",3.00,ART 103,Introduction to 3-D Design,ARTSTDIO 103,"
HUA",3-Dimensional Design,None
"
L",3.00,GEN EL,General Elective,ARTSTDIO 121,"
HUA",Basic Art,None
"
L",3.00,ART EL,Art Elective,ARTSTDIO 180,"
",Intro Advertising Design,None
"
L",3.00,ART 122,Introduction to Drawing,ARTSTDIO 201,"
HUA",Drawing I,None
"
L",3.00,ART 222,Intermediate Drawing,ARTSTDIO 202,"
",Drawing II,None
"
U",3.00,GEN EL,General Elective,ARTSTDIO 213,"
HUA",Intro to Digital Photo,None
"
L",3.00,GEN EL,General Elective,ARTSTDIO 221,"
HUA",Intro Studio Non-Art Majr,None
"
L",3.00,GEN EL,General Elective,ARTSTDIO 222,"
",Int. Water-Based Maedia,None
"
L",3.00,ART 203,Beginning Ceramics,ARTSTDIO 251,"
",Ceramics I,None
"
L",3.00,ART 223,Beginning Art Metals,ARTSTDIO 271,"
",Metal and Jewelry I,None
"
U",3.00,ART 323,Intermediate Art Metals,ARTSTDIO 272,"
",Metal and Jewelry II,None
"
L",3.00,GEN EL,General Elective,ARTSTDIO 287,"
",Comptr Graphcs For Artist,None
"
L",3.00,ART 282,Beginning Painting,ARTSTDIO 321,"
",Painting I,None
"
L",3.00,ART 274,Typography I,ARTSTDIO 381,"
",Graphic Design I: Typography,None
"
L",3.00,GEN EL,General Elective,AFRIAMR 100,"
DV, SSS",Introductn Black Culture,None
"
L",3.00,GEN EL,General Elective,AFRIAMR 120,"
",Modern Blk Amer History,None
"
L",3.00,GEN EL,General Elective,AFRIAMR 141,"
DV, SSJ",Modern Blk Amer History,None
"
L",3.00,GEN EL,General Elective,AFRIAMR 260,"
",The Black Family,None
"
L",3.00,GEN EL,General Elective,AFRIAMR 261,"
SSD, DV",African-American Politics,None
"
L",3.00,GEN EL,General Elective,AFRIAMR 270,"
DV, SSS",Afri Am Comunty Soc Persp,None
"
L",2.00,ART 100,Foundtn of Art & Visual Cultur,ARTHIST 111,"
",Art Appreciation,None
"
L",3.00,ART 125,Survey of World Art,ARTHIST 201,"
HUA",Srvy Art Ancient-1400ce,None
"
L",3.00,ART 126,Modern & Contmp Art 1900-Pres,ARTHIST 202,"
",Art Survey 1400 to 1900,None
"
L",3.00,GEN EL,General Elective,ARTHIST 203,"
HUA",Modern & Contemporary Art,None
"
L",3.00,BUS 100,Introduction to Business,BEINDP 101,"
SSB",Business and Society,None
"
L",3.00,GEN EL,General Elective,ANTHROPL 105,"
",Individual and Society,None
"
L",3.00,SOCA 100,Introduction to Anthropology,ANTHROPL 110,"
SSS",Introductory Anthropology,None
"
L",3.00,GEN EL,General Elective,ANTHROPL 190,"
SSS",Childhd Different Culture,None
"
L",3.00,SOCA 204,Human Evolution,ANTHROPL 214,"
NSF",Physical Anthropology,None
"
L",3.00,SOCA 202,Cultural Anthropology,ANTHROPL 218,"
",Cultural Anthropology,None
"
",3.00,Soc/BhvSci EL,Social & Behavioral Science Elective,ANTHROPL 220,"
SS","Tombs, Temples, Treasure",None
"
L",3.00,GEN EL,General Elective,ANTHROPL 228,"
SSS",Anthropology of Religion,None
"
L",3.00,GEN EL,General Elective,ANTHROPL 230,"
SSS",Societies in Change,None
"
L",3.00,GEN EL,General Elective,BIOLOGY 110,"
",Bob:Biology of the Brain,None
"
L",4.00,BIOS 100,Nature of Life,BIOLOGY 120,"
UCTA,NSB",Biological Foundations,None
"
L",5.00,BIOS 101,Bioscience,BIOLOGY 141,"
UCTA,NSB",Introductory Biology I,None
"
L",5.00,BIOS 102,Organismal Biology,BIOLOGY 142,"
",Introductory Biology II,None
"
L",3.00,GEN EL,General Elective,BIOLOGY 200,"
",Writing in Biology,None
"
L",3.00,BIOS 202,General Microbiology,BIOLOGY 210,"
",Elements of Bacteriology,None
"
L",3.00,BIOS EL,Biological Sciences Elective,BIOLOGY 214,"
NSB",Ecology and Society,None
"
L",2.00,GEN EL,General Elective,BIOLOGY 221,"
NSB",School Health,None
"
L",1.00,GEN EL,General Elective,BIOLOGY 230,"
NSB",Human Sexuality,None
"
L",1.00,GEN EL,General Elective,BIOLOGY 240,"
NSB",Human Inheritance,None
"
L",3.00,GEN EL,General Elective,BIOLOGY 247,"
",Bioethics,None
"
L",4.00,GEN EL,General Elective,BIOLOGY 251,"
NSB",Introduction to Genetics,None
"
U",3.00,BIOS 301,Cell Biology,BIOLOGY 253,"
",Intro to Cell Biology,None
"
L",2.00,GEN EL,General Elective,BIOLOGY 254,"
",Biotechnology Laboratory I,None
"
U",3.00,BIOS 305,Principles of Ecology,BIOLOGY 257,"
",Introduction to Ecology,None
"
L",4.00,BIOS 207,Research Process in Biology,BIOLOGY 303,"
",Biostatistics,None
"
L",4.00,CHEM 109,Environmental Chemistry,CHEM 100,"
NSC",Everyday Chemistry (Gl),None
"
L",5.00,CHEM 101,General Chemistry I,CHEM 102,"
UCTA,NSC",General Chemistry I,None
"
L",5.00,CHEM 102,General Chemistry II,CHEM 104,"
",General Chemistry II,None
"
L",5.00,GEN EL,General Elective,CHEM 109,"
NSC",Elements of Chemistry,None
"
L",5.00,GEN EL,General Elective,CHEM 110,"
NSC",Elements of Chemistry,None
"
U",3.00,CHEM 321,Organic Chemistry I,CHEM 251,"
",Organic Chemistry,None
"
U",3.00,CHEM 322,Organic Chemistry II,CHEM 252,"
",Organic Chemistry,None
"
U",4.00,CHEM 310,Inorganic Chemistry,CHEM 260,"
",Inorganic Chemistry,None
"
U",2.00,CHEM 323,Organic Chemistry Lab,CHEM 261,"
",Organic Chemistry Lab,None
"
U",2.00,CHEM 401,Advanced Organic Laboratory,CHEM 262,"
",Organic Chemistry Lab,None
"
L",3.00,GEN EL,General Elective,CHICANO 150,"
DV",Introduction Chicano St,None
"
L",3.00,GEN EL,General Elective,CHICANO 200,"
DV",Chican@ Literature to 1980,None
"
L",3.00,GEN EL,General Elective,CHICANO 201,"
DV",Contemporary Chicano Lit,None
"
L",1.00,GEN EL,General Elective,CIFLD 160,"
",Intro Teaching Music,None
"
L",9.00,GEN EL,General Elective,CIFLD 200E,"
",Pre-Profess Block Elem,None
"
L",9.00,GEN EL,General Elective,CIFLD 200F,"
",Pre-Profess Block Sec,None
"
L",1.00-3.00,GEN EL,General Elective,CIFLD 210,"
",Observation/Participation,None
"
L",1.00-3.00,GEN EL,General Elective,CIFLD 210E,"
",Obsrv Part-Elementary,None
"
L",1.00-3.00,GEN EL,General Elective,CIFLD 210F,"
",Obsrv Part-Secondary Educ,None
"
L",3.00,GEN EL,General Elective,CIGENRL 214,"
",Infrm Ed Consmr,None
"
L",3.00,GEN EL,General Elective,COACHING 100,"
",Wiaa Pri First Aid,None
"
L",2.00,HESM 283,Orientation to Coaching,COACHING 240,"
",Introduction to Coaching,None
"
L",2.00,GEN EL,General Elective,COACHING 250,"
",App Mechan Princpl Coach,None
"
L",1.00,GEN EL,General Elective,COACHING 251,"
",Coach Women Athletics,None
"
L",3.00,GEN EL,General Elective,COACHING 252,"
",Teach and Coach Sports Skills,None
"
L",2.00,HESM 301,Sport Conditioning Prac Design,COACHING 255,"
",Conditioning Intrsch Spts,None
"
L",2.00,GEN EL,General Elective,COACHING 256,"
",Psycho Social Coaching,None
"
L",3.00,HESM 330,Sport in Society,COACHING 260,"
",Hist Soc Aspects Athletcs,None
"
L",3.00,GEN EL,General Elective,COACHING 265,"
",Coach Comm Spon Sports,None
"
L",2.00,HESM 255,Coaching Theory-Football,COACHING 350,"
",Coaching of Football,None
"
L",2.00,HESM 252,Coaching Theory-Basketball,COACHING 351,"
",Coaching of Basketball,None
"
L",2.00,HESM 251,Coaching Theory-Baseball,COACHING 352,"
",Coaching of Baseball,None
"
L",3.00,HESM 264,Coaching Theory-Track/Field,COACHING 353,"
",Coach Track/Field/Cross Countr,None
"
L",2.00,GEN EL,General Elective,COACHING 356,"
",Coaching of Wrestling,None
"
L",2.00,HESM 266,Coaching Theory-Volleyball,COACHING 359,"
",Coaching of Volleyball,None
"
L",2.00,HESM 259,Coaching Theory-Soccer,COACHING 360,"
",Coaching of Soccer,None
"
L",2.00,HESM 260,Coaching Theory-Softball,COACHING 361,"
",Coaching of Softball,None
"
L",2.00,HESM 268,Officiate Team/Dual Sport,COACHING 462,"
",Thry Tech Officiating,None
"
L",0.00,GEN EL,General Elective,COMDIS 100,"
",Speech Improvement,None
"
L",3.00,GEN EL,General Elective,COMDIS 210,"
",O & P Communicative Dis,None
"
L",3.00,GEN EL,General Elective,COMDIS 270,"
",Intro Hum Comm and Disrdrs,None
"
L",3.00,GEN EL,General Elective,COMDIS 272,"
",Phonetics & Relat Process,None
"
L",3.00,GEN EL,General Elective,COMDIS 278,"
",Anat Physio Hum Comm,None
"
L",3.00,SPCH 105,Public Speaking,COMM 110,"
UCTA,HUT",Intro to Public Speaking,None
"
L",3.00,COMM 108,Media and Society,COMM 131,"
SSC",Intro Mass Communication,None
"
L",3.00,GEN EL,General Elective,COMM 162,"
",Debate,None
"
L",3.00,GEN EL,General Elective,COMM 202,"
",Principles Public Relatns,None
"
L",3.00,GEN EL,General Elective,COMM 203,"
",Publ Relations Tactics 1,None
"
L",3.00,GEN EL,General Elective,COMM 204,"
",Publ Relations Tactics II,None
"
L",3.00,COMM 107,Comm & Human Condition (Dv),COMM 228,"
SSC,DV",Interpersonal Communicatn,None
"
L",1.00,GEN EL,General Elective,COMM 230,"
",Radio Practicum,None
"
L",1.00,GEN EL,General Elective,COMM 231,"
",Practicum in Television,None
"
L",3.00,GEN EL,General Elective,COMM 232,"
",Found Electronic Media,None
"
L",3.00,GEN EL,General Elective,COMM 234,"
",Electronic Media Announce,None
"
L",3.00,ENGL 252,Introduction to Film,COMM 236,"
",Introduction to Cinema,None
"
L",3.00,GEN EL,General Elective,COMM 238,"
",Video Production I,None
"
L",3.00,GEN EL,General Elective,COMM 239,"
",Audio Production I,None
"
L",3.00,COMM 105,Public Speaking,COMM 240,"
SS",Public Speaking,None
"
L",3.00,GEN EL,General Elective,COMM 241,"
",Elec Media Copywriting,None
"
L",3.00,COMM 202,Group Communication,COMM 242,"
SSC",Comm & Team Building,None
"
L",3.00,GEN EL,General Elective,COMM 244,"
SSC",Communication/Interviewng,None
"
L",3.00,GEN EL,General Elective,COMM 246,"
",Elec Media Newswriting,None
"
L",3.00,GEN EL,General Elective,COMM 247,"
",Intro Parliamentary Proc,None
"
L",0.50-1.00,GEN EL,General Elective,COMM 260,"
",Intercollegiate Debate I,None
"
L",0.50-1.00,GEN EL,General Elective,COMM 261,"
",Intercollegiate Debate II,None
"
L",1.00,GEN EL,General Elective,COMM 263,"
",Practicum in Forensics,None
"
L",3.00,GEN EL,General Elective,COMM 270,"
",Communication and Web Dev,None
"
L",3.00,GEN EL,General Elective,COMM 271,"
",Multimedia Production Two,None
"
U",3.00,GEN EL,General Elective,COMM 422,"
",Communication Theories,None
"
L",3.00,COMM 209,Comm Research Methods,COMM 485,"
",Comm Research Methods,None
"
L",2.00,GEN EL,General Elective,DANCE 110,"
",Dance Appreciation,None
"
L",2.00,GEN EL,General Elective,DANCE 141,"
",Cont Dance Technique I,None
"
L",2.00,GEN EL,General Elective,DANCE 142,"
",Intro Tcnqs/Improv/Cmpstn,None
"
L",2.00,GEN EL,General Elective,DANCE 143,"
",Improvisation,None
"
L",2.00,GEN EL,General Elective,DANCE 144,"
",Jazz Dance,None
"
L",2.00,GEN EL,General Elective,DANCE 145,"
",Ballet I,None
"
L",1.00,GEN EL,General Elective,DANCE 200,"
",Pract-Dance Performance,None
"
L",2.00,GEN EL,General Elective,DANCE 243,"
",Improvisation/Sound,None
"
L",2.00,GEN EL,General Elective,DANCE 244,"
",Contemp Dance Tech II,None
"
L",2.00,GEN EL,General Elective,DANCE 245,"
",Contmp Dance Tech III,None
"
L",2.00,GEN EL,General Elective,DANCE 246,"
",Ballet II,None
"
L",2.00,GEN EL,General Elective,DANCE 248,"
",Dance Composition I,None
"
L",3.00,GEN EL,General Elective,DANCE 249,"
",Dance Composition II,None
"
L",2.00,GEN EL,General Elective,EARLYCHD 222,"
",Early Child Msc Methods,None
"
L",3.00,NDC,No Degree Credit,DEVLPED 050,"
",Study/Academic Surv Skill,None
"
L",3.00,NDC,No Degree Credit,DEVLPED 060,"
",College Literacy,None
"
L",1.00-3.00,GEN EL,General Elective,DEVLPED 080,"
",Student Success Workshop,None
"
L",3.00,GEN EL,General Elective,ECON 105,"
",Global Perspectives,None
"
L",3.00,ECON 101,The American Economy,ECON 200,"
UCTA,SSE",The Economic World,None
"
L",3.00,ECON 120,Principles of Microeconomics,ECON 201,"
SSE",Principles of Microeconomics,None
"
L",3.00,ECON 121,Principles of Macroeconomics,ECON 202,"
SSE",Principles of Macroeconomics,None
"
L",3.00,ECON 202,Principles Macroeconomics,ECON 211,"
",Econ Prin/Pblms/Policies,None
"
L",3.00,ECON 201,Principles Microeconomics,ECON 212,"
",Econ Prin/Pblms/Policies,None
"
L",3.00,GEN EL,General Elective,ECON 213,"
SSE",Econ Prin For Teachers,None
"
L",3.00,QM 210,Business Statistics I,ECON 245,"
",Business Statistics,None
"
L",1.00,GEN EL,General Elective,ECON 245A,"
",Bus Stats I-Cmptr Appltns,None
"
L",4.00,GEN EL,General Elective,ECON 245C,"
",Statistics W/Computr Appl,None
"
U",3.00,ECON 320,Intermediate Micro Theory,ECON 301,"
",Int Microeconomic Anlysis,None
"
U",3.00,ECON 409,Econometrics,ECON 345,"
",Econometrics,None
"
L",3.00,GEN EL,General Elective,EDFOUND 212,"
",Educational Psychology,None
"
L",1.00,GEN EL,General Elective,EDFOUND 214,"
",Portfolio Development I,None
"
L",3.00,GEN EL,General Elective,EDFOUND 222,"
",Child Development,None
"
L",3.00,GEN EL,General Elective,EDFOUND 243,"
",Found of Ed in Plur Soc,None
"
L",3.00,GEN EL,General Elective,EDFNDPRC 210,"
",Intro to Educ & Teaching,None
"
U",3.00,BUS 372,Business Law,FNBSLW 342,"
",Adv Bus & Commercial Law,None
"
U",3.00,FIN 330,Managerial Finance,FNBSLW 344,"
",Business Finance,None
"
L",4.00,GEN EL,General Elective,FORNLANG 101,"
",Beginning Japanese I,None
"
L",4.00,GEN EL,General Elective,FORNLANG 102,"
",Beginning Japanese II,None
"
L",4.00,GEN EL,General Elective,FORNLANG 103,"
",Beginning Japanese III,None
"
L",4.00,GEN EL,General Elective,FORNLANG 141,"
",Beginning Chinese,None
"
L",4.00,GEN EL,General Elective,FORNLANG 142,"
",Beginning Chinese,None
"
L",4.00,GEN EL,General Elective,FORNLANG 201,"
",Intermediate Japanese I,None
"
L",4.00,FREN 103,Introductory French I,FRENCH 141,"
",Beginning French,None
"
L",4.00,FREN 104,Introductory French II,FRENCH 142,"
",Beginning French,None
"
L",4.00,FREN 203,Intermediate French I,FRENCH 251,"
HUL",Intermediate French,None
"
L",4.00,FREN 204,Intermediate French II,FRENCH 252,"
HUL",Intermediate French,None
"
L",3.00,GEN EL,General Elective,FRENCH 260,"
",French Phonetics,None
"
U",3.00,FREN EL,French Studies Elective,FRENCH 310,"
",French Phonetics,None
"
",3.00,Human/Arts EL,Humanities and Arts Elective,FRENCH 321,"
HU",Advanced French Lng Study,None
"
",3.00,Human/Arts EL,Humanities and Arts Elective,FRENCH 322,"
HU",Advanced French Lng Study,None
"
U",3.00,FREN 320,Intro to French Literature:,FRENCH 331,"
",Readings Modern French,None
"
U",3.00,FREN 318,French Civilization & Culture:,FRENCH 340,"
",Contemp French Society,None
"
U",3.00,FREN 301,French Convers and Comp,FRENCH 370,"
",Intro to Business French,None
"
U",3.00,FREN EL,French Studies Elective,FRENCH 491,"
",Travel Study,None
"
L",2.00,GEN EL,General Elective,EDUINDP 211,"
",Intro to Early Childhd Educ,None
"
L",3.00,GEN EL,General Elective,EDUINDP 212,"
",Child/Families Div Society,None
"
L",3.00,GEN EL,General Elective,EDUINDP 213,"
",Develop Young Child,None
"
L",3.00,GEN EL,General Elective,EDUINDP 214,"
",Observ and Reflect in Hd Strt,None
"
L",3.00,GEN EL,General Elective,EDUINDP 215,"
",Art in the Early Years,None
"
L",1.00,GEN EL,General Elective,EDUINDP 216,"
",Seminar: Phase 2 Portfolio,None
"
L",2.00,GEN EL,General Elective,ELEMMID 215,"
",Methds Tch Art Elm/Mdl Sc,None
"
L",2.00,GEN EL,General Elective,ELEMMID 223,"
",Elem School Music Methods,None
"
L",2.00,GEN EL,General Elective,ELEMMID 234,"
",Elem Genrl Music Methods,None
"
L",2.00,GEN EL,General Elective,ELEMMID 236,"
",Elm/Mdl Sch Instr Methods,None
"
",3.00,DNT,Does Not Transfer,ENGLISH 090,"
",Fundamentals of English,None
"
",2.00,NDC,No Degree Credit,ENGLISH 091,"
",Written Communications,None
"
L",3.00,ENGL 100,Fundamentals of English,ENGLISH 101,"
UCTA,",College Writing & Reading,None
"
L",3.00,ENGL 101,Composition and Reading,ENGLISH 102,"
UCTA,RWS",Writing/Reading/Research,None
"
L",3.00,ENGL 101,Composition and Reading,ENGLISH 105,"
UCTA,RWS",Freshman English Honors,None
"
L",4.00,ENGL EL,English Elective,ENGLISH 161,"
",Adv Acad Reading in Esl,None
"
L",4.00,ENGL EL,English Elective,ENGLISH 162,"
",College Wrtg Engl As Sec Lang,None
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 200,"
HUE,DV",Chican@ Lit: to 1980,None
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 201,"
HUE,DV",Contemporary Chicano Lit,None
"
L",3.00,ENGL EL,English Elective,ENGLISH 204,"
HUE",Creative Writing II,None
"
L",0.00,ENGL EL,English Elective,ENGLISH 205,"
HUE",Literary Magazines,None
"
L",3.00,ENGL 216,British Literature to 1800,ENGLISH 206,"
",British Lit Survey I,None
"
L",3.00,ENGL 217,"British Literature, 1800-1920",ENGLISH 216,"
HU",British Lit Survey II,None
"
L",3.00,ENGL 226,American Literature to 1855,ENGLISH 226,"
",American Lit Survey I,None
"
L",3.00,GEN EL,General Elective,ENGLISH 234,"
HUE",Shakespeare/Non-Engl Majr,None
"
L",3.00,ENGL 227,"American Literature, 1855-1920",ENGLISH 236,"
HU",Am Literature II,None
"
U",3.00,ENGL 464,Studies in Cultural Trends:,ENGLISH 251,"
",Class Myth/Lgnd Srce Lit,None
"
U",3.00,ENGL 368,The Bible As Literature,ENGLISH 252,"
",The Bible As Literature,None
"
L",3.00,ENGL 246,Survey of  World Literature,ENGLISH 256,"
",World Lit I: Anc Tms-Ren,None
"
L",3.00,ENGL 247,Survey of Modern World Lit,ENGLISH 257,"
",World Lit II: Neocl-Modrn,None
"
L",3.00,ENGL 267,Literature of Diversity: (Dv),ENGLISH 258,"
",Wrld Lit Chna India Japan,None
"
U",3.00,ENGL 332,Modern & Contemp Novel,ENGLISH 263,"
",The Contemporary Novel,None
